rank,candidate_id,final_score,professional_band,band_id,subtype,current_title,headline,years_experience,current_company,industry,location,career_titles,current_work_evidence,negative_evidence,risk_flags,open_to_work,last_active_date,response_rate,response_hours,notice_period_days,willing_to_relocate,target_location,reasoning,professional_band_score,current_work_subtype_score,retrieval_search_ranking_score,vector_embedding_hybrid_score,production_ml_system_score,evaluation_maturity_score,python_backend_platform_score,product_shipper_score,experience_fit_score,skill_corroboration_score,behavior_fit_score,logistics_fit_score,near_miss_penalty,coherence_risk_penalty
1,CAND_0046525,213.500000,senior_relevance_owner,5,relevance_ownership,Senior Machine Learning Engineer,Senior Machine Learning Engineer | Building AI-native search & ranking systems,6.1,Genpact AI,AI Services,"Pune, Maharashtra",Senior Machine Learning Engineer | Senior Machine Learning Engineer,Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. | Machine Learning assessment 86.7/100,,,True,2026-05-23,0.880,12.0,60,True,True,Senior Machine Learning Engineer with 6.1 years at Genpact AI; owns the migration from keyword matching to an evaluated embedding-ranker system. The profile is open to work with a 0.88 recruiter response rate and 60-day notice.,126.000000,12.000000,20.000000,8.000000,12.000000,12.000000,2.000000,5.000000,8.000000,2.250000,4.000000,2.250000,0.000000,0.000000
2,CAND_0086022,211.660000,senior_relevance_owner,5,search_ranking,Senior Applied Scientist,"Senior Applied Scientist | LLMs, RAG, Vector Search | ex-Top Tech",5.3,Sarvam AI,AI/ML,"Kolkata, West Bengal",Senior Applied Scientist | Senior ML Engineer — Search & Ranking,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Vector Search assessment 92.7/100,,weak:skill_duration_overrun,True,2026-04-15,0.550,59.2,0,True,False,"Career evidence from this Senior Applied Scientist (5.3 years) built a 50M-query RAG ranking pipeline and calibrated NDCG, MRR, and recall against A/B outcomes. Availability signals are supportive: open to work, 0.55 response rate, and 0-day notice.",126.000000,10.000000,20.000000,8.000000,12.000000,12.000000,1.160000,5.000000,8.000000,2.850000,4.000000,2.650000,0.000000,0.000000
3,CAND_0018499,211.360000,senior_relevance_owner,5,search_ranking,Senior Machine Learning Engineer,Senior Machine Learning Engineer | Building AI-native search & ranking systems,7.2,Zomato,Food Delivery,"Noida, Uttar Pradesh",Senior Machine Learning Engineer | Staff Machine Learning Engineer | Senior Machine Learning Engineer,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Weaviate assessment 72.4/100,,weak:repeated_role_description,True,2026-05-13,0.610,59.6,15,True,True,"At Zomato, this Senior Machine Learning Engineer built a 50M-query RAG ranking pipeline and calibrated NDCG, MRR, and recall against A/B outcomes, directly supporting Redrob's intelligence-layer mandate. They are open to work and the recorded notice period is 15 days.",126.000000,10.000000,20.000000,8.000000,12.000000,12.000000,1.160000,5.000000,8.000000,2.400000,4.000000,2.800000,0.000000,0.000000
4,CAND_0077337,209.910000,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,Staff Machine Learning Engineer | Building AI-native search & ranking systems,7.0,Paytm,Fintech,"Kochi, Kerala",Staff Machine Learning Engineer | Senior NLP Engineer | Senior NLP Engineer | Senior AI Engineer,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. | Semantic Search assessment 63.2/100",,weak:repeated_role_description,True,2026-05-26,0.950,26.0,60,True,False,This 7.0-year Staff Machine Learning Engineer shipped a production recommender with behavioral reranking and live A/B evidence. A 0.95 response rate and 60-day notice make the profile workable for outreach.,126.000000,10.000000,20.000000,8.000000,12.000000,12.000000,1.360000,5.000000,8.000000,1.950000,4.000000,1.600000,0.000000,0.000000
5,CAND_0081846,209.425800,senior_relevance_owner,5,search_ranking,Lead AI Engineer,"Lead AI Engineer | LLMs, RAG, Vector Search | ex-Top Tech",6.7,Razorpay,Fintech,"Jaipur, Rajasthan",Lead AI Engineer | Senior Machine Learning Engineer,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Information Retrieval assessment 64.8/100,,weak:skill_duration_overrun,True,2026-05-03,0.730,40.2,30,True,False,"Lead AI Engineer with 6.7 years at Razorpay; built a 50M-query RAG ranking pipeline and calibrated NDCG, MRR, and recall against A/B outcomes. The profile is open to work with a 0.73 recruiter response rate and 30-day notice.",126.000000,10.000000,20.000000,8.000000,12.000000,12.000000,0.200000,4.425800,8.000000,2.400000,4.000000,2.400000,0.000000,0.000000
6,CAND_0071974,206.188800,senior_relevance_owner,5,search_ranking,Senior AI Engineer,Senior AI Engineer | Production ML at scale | 7.8+ yrs,7.8,Netflix,Media,"Vizag, Andhra Pradesh",Senior AI Engineer | Staff Machine Learning Engineer | Staff Machine Learning Engineer,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | Learning to Rank assessment 77.2/100,,,True,2026-04-16,0.760,38.2,45,False,False,Career evidence from this Senior AI Engineer (7.8 years) owns a production ranking pipeline with explicit relevance evaluation. Hiring feasibility is tempered because location/relocation fit is weaker.,126.000000,10.000000,20.000000,8.000000,10.778800,9.600000,1.160000,5.000000,8.000000,3.000000,4.000000,0.650000,0.000000,0.000000
7,CAND_0055905,204.229760,senior_relevance_owner,5,hybrid_retrieval,Senior Machine Learning Engineer,"Senior Machine Learning Engineer | LLMs, RAG, Vector Search | ex-Top Tech",8.1,Flipkart,E-commerce,London,Senior Machine Learning Engineer | Senior AI Engineer | Senior Applied Scientist,Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. | Elasticsearch assessment 83.0/100,,,True,2026-05-17,0.870,11.3,30,False,False,"At Flipkart, this Senior Machine Learning Engineer owns hybrid sparse/dense search over a 35M-item corpus with NDCG and latency evidence, directly supporting Redrob's intelligence-layer mandate. The profile records a 0.87 recruiter response rate and 30-day notice; location/relocation fit is weaker.",126.000000,10.000000,18.048960,8.000000,12.000000,12.000000,1.360000,2.970800,8.000000,1.650000,4.000000,0.200000,0.000000,0.000000
8,CAND_0008425,203.248320,senior_relevance_owner,5,hybrid_retrieval,Senior NLP Engineer,Senior NLP Engineer | Production ML at scale | 7.8+ yrs,7.8,Ola,Transportation,"Kolkata, West Bengal",Senior NLP Engineer | Senior ML Engineer — Search & Ranking | Lead AI Engineer,Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. | Learning to Rank assessment 77.8/100,90-day notice period,,True,2026-04-25,0.660,10.8,90,False,False,"This 7.8-year Senior NLP Engineer owns hybrid sparse/dense search over a 35M-item corpus with NDCG and latency evidence. Relative to nearby candidates, notice period is 90 days and location/relocation fit is weaker.",126.000000,10.000000,17.027520,8.000000,12.000000,12.000000,1.360000,3.810800,8.000000,1.950000,4.000000,-0.900000,0.000000,0.000000
9,CAND_0080766,203.023540,senior_relevance_owner,5,recommendation,Staff Machine Learning Engineer,Senior Engineer | Search & Discovery Infrastructure,8.8,Salesforce,Software,"Coimbatore, Tamil Nadu",Staff Machine Learning Engineer | Staff Machine Learning Engineer | Lead AI Engineer | Senior Machine Learning Engineer,Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. | Weaviate assessment 84.5/100,not marked open to work,,False,2026-04-09,0.660,37.9,0,True,False,Staff Machine Learning Engineer with 8.8 years at Salesforce; built production recommendation and behavioral reranking components. Main concern: not marked open to work.,126.000000,7.500000,18.394560,5.100480,12.000000,11.484500,5.000000,5.000000,8.000000,0.600000,1.294000,2.650000,0.000000,0.000000
10,CAND_0088025,200.094600,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,Staff Machine Learning Engineer | Building AI-native search & ranking systems,8.6,Yellow.ai,AI/ML,"Jaipur, Rajasthan",Staff Machine Learning Engineer | Staff Machine Learning Engineer | Senior Machine Learning Engineer,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | Pinecone assessment 93.6/100,90-day notice period,weak:repeated_role_description,True,2026-05-14,0.830,24.1,90,False,False,Career evidence from this Staff Machine Learning Engineer (8.6 years) owns a production ranking pipeline with explicit relevance evaluation. Hiring feasibility is tempered because notice period is 90 days and location/relocation fit is weaker.,126.000000,10.000000,20.000000,8.000000,6.000800,10.801000,1.442800,5.000000,8.000000,1.500000,4.000000,-0.650000,0.000000,0.000000
11,CAND_0094759,198.260960,senior_relevance_owner,5,relevance_ownership,Lead AI Engineer,Lead AI Engineer | Production ML at scale | 8.6+ yrs,8.6,Meta,Internet,"Mumbai, Maharashtra",Lead AI Engineer | Senior NLP Engineer | Senior Applied Scientist,Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. | Hugging Face Transformers assessment 80.5/100,not marked open to work | inactive for 144 days at the fixed reference date,weak:repeated_role_description,False,2026-01-08,0.110,219.9,30,True,True,"At Meta, this Lead AI Engineer owns the migration from keyword matching to an evaluated embedding-ranker system, directly supporting Redrob's intelligence-layer mandate. The profile records a 0.11 recruiter response rate and 30-day notice; not marked open to work and last active 144 days before the fixed reference date.",126.000000,12.000000,18.528960,8.000000,12.000000,12.000000,3.160000,5.000000,8.000000,2.700000,-2.128000,3.000000,10.000000,0.000000
12,CAND_0011687,197.488800,senior_relevance_owner,5,search_ranking,Senior NLP Engineer,Senior NLP Engineer | Production ML at scale | 7.8+ yrs,7.8,Niramai,HealthTech AI,"Indore, Madhya Pradesh",Senior NLP Engineer | Senior Machine Learning Engineer,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | TensorFlow assessment 78.1/100,,,True,2026-05-10,0.890,7.5,15,False,False,"This 7.8-year Senior NLP Engineer owns a production ranking pipeline with explicit relevance evaluation. Relative to nearby candidates, location/relocation fit is weaker.",126.000000,10.000000,16.858080,7.270720,8.750000,8.400000,1.160000,5.000000,8.000000,0.600000,4.000000,1.450000,0.000000,0.000000
13,CAND_0002025,197.445440,senior_relevance_owner,5,search_ranking,Senior AI Engineer,Senior AI Engineer | Building AI-native search & ranking systems,5.9,Apple,Consumer Electronics,"Trivandrum, Kerala",Senior AI Engineer | Lead AI Engineer,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months.",,weak:skill_duration_overrun,True,2026-05-26,0.800,20.9,30,False,False,Senior AI Engineer with 5.9 years at Apple; shipped a production recommender with behavioral reranking and live A/B evidence. Main concern: location/relocation fit is weaker.,126.000000,10.000000,15.360000,7.125440,12.000000,6.700000,1.360000,5.000000,8.000000,0.450000,4.000000,1.450000,0.000000,0.000000
14,CAND_0039754,196.382000,senior_relevance_owner,5,search_ranking,Senior Applied Scientist,Senior Applied Scientist | Building AI-native search & ranking systems,16.2,Meta,Internet,"Indore, Madhya Pradesh",Senior Applied Scientist | Senior ML Engineer — Search & Ranking | Senior Applied Scientist,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | NLP assessment 80.5/100,,,True,2026-05-14,0.810,38.5,30,True,False,Career evidence from this Senior Applied Scientist (16.2 years) owns a production ranking pipeline with explicit relevance evaluation. Hiring feasibility is tempered because 16.2 years is above the preferred experience band.,126.000000,10.000000,20.000000,8.000000,9.282000,12.000000,0.200000,5.000000,0.000000,2.250000,4.000000,2.650000,3.000000,0.000000
15,CAND_0037980,195.120680,senior_relevance_owner,5,search_ranking,Senior Applied Scientist,Senior Engineer | Information Retrieval at scale,9.0,Niramai,HealthTech AI,"Kolkata, West Bengal",Senior Applied Scientist | Senior ML Engineer — Search & Ranking | Senior ML Engineer — Search & Ranking,"Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. | Vector Search assessment 72.2/100",,weak:repeated_role_description,True,2026-03-28,0.630,42.4,0,True,False,"At Niramai, this Senior Applied Scientist owns a production ranking pipeline with explicit relevance evaluation, directly supporting Redrob's intelligence-layer mandate. They are open to work and the recorded notice period is 0 days.",126.000000,10.000000,12.796800,0.452480,12.000000,9.101000,4.520400,5.000000,8.000000,0.600000,4.000000,2.650000,0.000000,0.000000
